time,h_sigma,cycle,spot,dh_fit_dx,delta_time,rms_misfit,segment_id,dh_fit_dy,w_surface_window_final,n_fit_photons,rgt,pflags,h_mean,distance,gt,geometry,lon,lat,x,y,snow_depth,geometry_2
45:27.8,0.229691893,11,1,-0.222054124,104039127.8,0.870196145,244941,0,8.279954235,15,387,0,886.1612251,4911971.935,60,POINT (-122.0546760103341 44.127005178743886),-122.054676,44.12700518,575628.7599,4886413.595,,polygon(points)
45:27.8,0.041364005,11,1,-0.055867931,104039127.8,0.2051099,244942,0,3,25,387,0,884.2420484,4911986.976,60,POINT (-122.05469407213785 44.12713992560673),-122.0546941,44.12713993,575627.143,4886428.545,,
45:27.8,0.059327942,11,1,-0.027240136,104039127.8,0.216853006,244943,0,3,18,387,0,883.6601039,4912002.017,60,POINT (-122.05471208526004 44.12727467659209),-122.0547121,44.12727468,575625.5299,4886443.495,,
45:28.0,0.051509263,11,1,-0.009252478,104039128,0.169187963,245023,0,3,13,387,0,538.0461179,4913625.35,60,POINT (-122.05667870360969 44.141816308626794),-122.0566787,44.14181631,575449.6759,4888056.842,-0.494592556,
45:28.0,0.070796305,11,1,-0.038644826,104039128,0.261843108,245026,0,3,21,387,0,535.8132085,4913670.432,60,POINT (-122.05673396784572 44.14222010373037),-122.056734,44.1422201,575444.7414,4888101.641,-0.329674811,
45:28.0,0.067835126,11,1,0.012903267,104039128,0.281535455,245027,0,3,22,387,0,535.5552063,4913685.474,60,POINT (-122.05675209530891 44.142354847815),-122.0567521,44.14235485,575443.1199,4888116.59,-0.393707295,
45:28.1,0.115221421,11,3,-0.157967826,104039128.1,0.431239126,245028,0,4.074341237,16,387,0,694.694698,4913715.515,40,POINT (-122.09669539381812 44.13984396120507),-122.0966954,44.13984396,572251.4175,4887801.847,-0.423405066,
45:27.7,0.069223897,11,2,-0.016045401,104039127.7,0.211157368,245030,0,3,10,387,0,533.7526892,4913760.638,50,POINT (-122.05794761322377 44.142951303308706),-122.0579476,44.1429513,575346.7407,4888181.744,-0.787105745,
45:27.7,0.036567326,11,2,0.006431594,104039127.7,0.114818262,245034,0,3,10,387,0,533.3477883,4913835.761,50,POINT (-122.05803354105753 44.14362460564801),-122.0580335,44.14362461,575339.0117,4888256.449,-0.903615463,
45:28.1,0.176432748,11,3,-0.264468263,104039128.1,0.608671649,245035,0,6.771614449,12,387,0,669.2626787,4913865.844,40,POINT (-122.0968790230379 44.14119053857076),-122.096879,44.14119054,572235.0878,4887951.251,0.71409473,
