

Oregon (PST) SNOTEL Site Bear Grass - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Apr 26 09:01:59 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,SNWD.I-1 (in) ,
1166,2021-01-01,,      58,
1166,2021-01-02,,      62,
1166,2021-01-03,,      65,
1166,2021-01-04,,      62,
1166,2021-01-05,,      65,
1166,2021-01-06,,      65,
1166,2021-01-07,,      70,
1166,2021-01-08,,      69,
1166,2021-01-09,,      71,
1166,2021-01-10,,      72,
1166,2021-01-11,,      70,
1166,2021-01-12,,      69,
1166,2021-01-13,,      58,
1166,2021-01-14,,      58,
1166,2021-01-15,,      57,
1166,2021-01-16,,      57,
1166,2021-01-17,,      57,
1166,2021-01-18,,      56,
1166,2021-01-19,,      56,
1166,2021-01-20,,      56,
1166,2021-01-21,,      55,
1166,2021-01-22,,      55,
1166,2021-01-23,,      56,
1166,2021-01-24,,      55,
1166,2021-01-25,,      59,
1166,2021-01-26,,      58,
1166,2021-01-27,,      67,
1166,2021-01-28,,      71,
1166,2021-01-29,,      70,
1166,2021-01-30,,      69,
1166,2021-01-31,,      71,
1166,2021-02-01,,      70,
1166,2021-02-02,,      69,
1166,2021-02-03,,      82,
1166,2021-02-04,,      89,
1166,2021-02-05,,      86,
1166,2021-02-06,,      83,
1166,2021-02-07,,      81,
1166,2021-02-08,,      78,
1166,2021-02-09,,      78,
1166,2021-02-10,,      80,
1166,2021-02-11,,      79,
1166,2021-02-12,,      79,
1166,2021-02-13,,      88,
1166,2021-02-14,,     105,
1166,2021-02-15,,     107,
1166,2021-02-16,,     116,
1166,2021-02-17,,     118,
1166,2021-02-18,,     117,
1166,2021-02-19,,     117,
1166,2021-02-20,,     122,
1166,2021-02-21,,     124,
1166,2021-02-22,,     124,
1166,2021-02-23,,     121,
1166,2021-02-24,,     123,
1166,2021-02-25,,     121,
1166,2021-02-26,,     126,
1166,2021-02-27,,     136,
1166,2021-02-28,,     137,
1166,2021-03-01,,     134,
1166,2021-03-02,,     130,
1166,2021-03-03,,     128,
1166,2021-03-04,,     125,
1166,2021-03-05,,     123,
1166,2021-03-06,,     124,
1166,2021-03-07,,     124,
1166,2021-03-08,,     127,
1166,2021-03-09,,     127,
1166,2021-03-10,,     129,
1166,2021-03-11,,     124,
1166,2021-03-12,,     124,
1166,2021-03-13,,     123,
1166,2021-03-14,,     121,
