

Oregon (PST) SNOTEL Site Hogg Pass - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Apr 26 09:00:07 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,SNWD.I-1 (in) ,
526,2021-01-01,,      34,
526,2021-01-02,,      36,
526,2021-01-03,,      40,
526,2021-01-04,,      37,
526,2021-01-05,,      39,
526,2021-01-06,,      38,
526,2021-01-07,,      41,
526,2021-01-08,,      39,
526,2021-01-09,,      41,
526,2021-01-10,,      40,
526,2021-01-11,,      40,
526,2021-01-12,,      39,
526,2021-01-13,,      31,
526,2021-01-14,,      29,
526,2021-01-15,,      29,
526,2021-01-16,,      27,
526,2021-01-17,,      28,
526,2021-01-18,,      27,
526,2021-01-19,,      27,
526,2021-01-20,,      27,
526,2021-01-21,,      27,
526,2021-01-22,,      27,
526,2021-01-23,,      27,
526,2021-01-24,,      28,
526,2021-01-25,,      31,
526,2021-01-26,,      31,
526,2021-01-27,,      36,
526,2021-01-28,,      39,
526,2021-01-29,,      35,
526,2021-01-30,,      37,
526,2021-01-31,,      37,
526,2021-02-01,,      36,
526,2021-02-02,,      32,
526,2021-02-03,,      44,
526,2021-02-04,,      49,
526,2021-02-05,,      47,
526,2021-02-06,,      44,
526,2021-02-07,,      43,
526,2021-02-08,,      43,
526,2021-02-09,,      43,
526,2021-02-10,,      42,
526,2021-02-11,,      42,
526,2021-02-12,,      44,
526,2021-02-13,,      48,
526,2021-02-14,,      59,
526,2021-02-15,,      59,
526,2021-02-16,,      63,
526,2021-02-17,,      61,
526,2021-02-18,,      60,
526,2021-02-19,,      66,
526,2021-02-20,,      66,
526,2021-02-21,,      69,
526,2021-02-22,,      68,
526,2021-02-23,,      64,
526,2021-02-24,,      63,
526,2021-02-25,,      64,
526,2021-02-26,,      62,
526,2021-02-27,,      66,
526,2021-02-28,,      70,
526,2021-03-01,,      68,
526,2021-03-02,,      66,
526,2021-03-03,,      64,
526,2021-03-04,,      63,
526,2021-03-05,,      62,
526,2021-03-06,,      65,
526,2021-03-07,,      63,
526,2021-03-08,,      65,
526,2021-03-09,,      66,
526,2021-03-10,,      66,
526,2021-03-11,,      64,
526,2021-03-12,,      65,
526,2021-03-13,,      64,
526,2021-03-14,,      62,
526,2021-03-15,,      64,
526,2021-03-16,,      63,
526,2021-03-17,,      62,
526,2021-03-18,,      61,
526,2021-03-19,,      64,
526,2021-03-20,,      64,
526,2021-03-21,,      65,
526,2021-03-22,,      66,
526,2021-03-23,,      68,
526,2021-03-24,,      66,
526,2021-03-25,,      68,
526,2021-03-26,,      67,
526,2021-03-27,,      66,
526,2021-03-28,,      64,
526,2021-03-29,,      62,
526,2021-03-30,,      64,
526,2021-03-31,,      63,
526,2021-04-01,,      62,
526,2021-04-02,,      60,
526,2021-04-03,,      58,
526,2021-04-04,,      57,
526,2021-04-05,,      55,
526,2021-04-06,,      54,
526,2021-04-07,,      52,
526,2021-04-08,,      51,
526,2021-04-09,,      52,
526,2021-04-10,,      50,
526,2021-04-11,,      50,
526,2021-04-12,,      50,
526,2021-04-13,,      49,
526,2021-04-14,,      48,
526,2021-04-15,,      46,
526,2021-04-16,,      45,
526,2021-04-17,,      43,
526,2021-04-18,,      40,
526,2021-04-19,,      38,
526,2021-04-20,,      36,
526,2021-04-21,,      35,
526,2021-04-22,,      32,
526,2021-04-23,,      31,
526,2021-04-24,,      29,
526,2021-04-25,,      30,
526,2021-04-26,,      26,
526,2021-04-27,,      27,
526,2021-04-28,,      25,
526,2021-04-29,,      22,
526,2021-04-30,,      19,
526,2021-05-01,,      15,
526,2021-05-02,,      10,
526,2021-05-03,,       7,
526,2021-05-04,,       4,
526,2021-05-05,,       1,
526,2021-05-06,,       0,
526,2021-05-07,,       0,
526,2021-05-08,,       0,
526,2021-05-09,,       0,
526,2021-05-10,,       0,
526,2021-05-11,,       0,
526,2021-05-12,,       0,
526,2021-05-13,,       0,
526,2021-05-14,,       0,
526,2021-05-15,,       0,
526,2021-05-16,,       0,
526,2021-05-17,,       0,
526,2021-05-18,,       0,
526,2021-05-19,,       0,
526,2021-05-20,,       0,
526,2021-05-21,,       0,
526,2021-05-22,,       0,
526,2021-05-23,,       0,
526,2021-05-24,,       0,
526,2021-05-25,,       0,
526,2021-05-26,,       0,
526,2021-05-27,,       0,
526,2021-05-28,,       0,
526,2021-05-29,,       0,
526,2021-05-30,,       0,
526,2021-05-31,,       0,
526,2021-06-01,,       0,
526,2021-06-02,,       0,
526,2021-06-03,,       0,
526,2021-06-04,,       0,
526,2021-06-05,,       0,
526,2021-06-06,,       0,
526,2021-06-07,,       0,
526,2021-06-08,,       0,
526,2021-06-09,,       0,
526,2021-06-10,,       0,
526,2021-06-11,,       0,
526,2021-06-12,,       0,
526,2021-06-13,,       0,
526,2021-06-14,,       0,
526,2021-06-15,,       0,
526,2021-06-16,,       0,
526,2021-06-17,,       0,
526,2021-06-18,,       0,
526,2021-06-19,,       0,
526,2021-06-20,,       0,
526,2021-06-21,,       0,
526,2021-06-22,,       0,
526,2021-06-23,,       0,
526,2021-06-24,,       0,
526,2021-06-25,,       0,
526,2021-06-26,,       0,
526,2021-06-27,,       0,
526,2021-06-28,,       0,
526,2021-06-29,,       0,
526,2021-06-30,,       0,
526,2021-07-01,,       0,
526,2021-07-02,,       0,
526,2021-07-03,,       0,
526,2021-07-04,,       0,
526,2021-07-05,,       0,
526,2021-07-06,,       0,
526,2021-07-07,,       0,
526,2021-07-08,,       0,
526,2021-07-09,,       0,
526,2021-07-10,,       0,
526,2021-07-11,,       0,
526,2021-07-12,,       0,
526,2021-07-13,,       0,
526,2021-07-14,,       0,
526,2021-07-15,,       0,
526,2021-07-16,,       0,
526,2021-07-17,,       0,
526,2021-07-18,,       0,
526,2021-07-19,,       0,
526,2021-07-20,,       0,
526,2021-07-21,,       0,
526,2021-07-22,,       0,
526,2021-07-23,,       0,
526,2021-07-24,,       0,
526,2021-07-25,,       0,
526,2021-07-26,,       0,
526,2021-07-27,,       0,
526,2021-07-28,,       0,
526,2021-07-29,,       0,
526,2021-07-30,,       0,
526,2021-07-31,,       0,
526,2021-08-01,,       0,
526,2021-08-02,,       0,
526,2021-08-03,,       0,
526,2021-08-04,,       0,
526,2021-08-05,,       0,
526,2021-08-06,,       0,
526,2021-08-07,,       0,
526,2021-08-08,,       0,
526,2021-08-09,,       0,
526,2021-08-10,,       0,
526,2021-08-11,,       0,
526,2021-08-12,,       0,
526,2021-08-13,,       0,
526,2021-08-14,,       0,
526,2021-08-15,,       0,
526,2021-08-16,,       0,
526,2021-08-17,,       0,
526,2021-08-18,,       0,
526,2021-08-19,,       0,
526,2021-08-20,,       0,
526,2021-08-21,,       0,
526,2021-08-22,,       0,
526,2021-08-23,,       0,
526,2021-08-24,,       0,
526,2021-08-25,,       0,
526,2021-08-26,,       0,
526,2021-08-27,,       0,
526,2021-08-28,,       0,
526,2021-08-29,,       0,
526,2021-08-30,,       0,
526,2021-08-31,,       0,
526,2021-09-01,,       0,
526,2021-09-02,,       0,
526,2021-09-03,,       0,
526,2021-09-04,,       0,
526,2021-09-05,,       0,
526,2021-09-06,,       0,
526,2021-09-07,,       0,
526,2021-09-08,,       0,
526,2021-09-09,,       0,
526,2021-09-10,,       0,
526,2021-09-11,,       0,
526,2021-09-12,,       0,
526,2021-09-13,,       0,
526,2021-09-14,,       0,
526,2021-09-15,,       0,
526,2021-09-16,,       0,
526,2021-09-17,,       0,
526,2021-09-18,,       0,
526,2021-09-19,,       0,
526,2021-09-20,,       0,
526,2021-09-21,,       0,
526,2021-09-22,,       0,
526,2021-09-23,,       0,
526,2021-09-24,,       0,
526,2021-09-25,,       0,
526,2021-09-26,,       0,
526,2021-09-27,,       0,
526,2021-09-28,,       0,
526,2021-09-29,,       0,
526,2021-09-30,,       0,
526,2021-09-30,23:59,-99.9,
526,2021-10-01,,       0,
526,2021-10-02,,       0,
526,2021-10-03,,       0,
526,2021-10-04,,       0,
526,2021-10-05,,       0,
526,2021-10-06,,       0,
526,2021-10-07,,       0,
526,2021-10-08,,       0,
526,2021-10-09,,       0,
526,2021-10-10,,       0,
526,2021-10-11,,       0,
526,2021-10-12,,       0,
526,2021-10-13,,       0,
526,2021-10-14,,       0,
526,2021-10-15,,       0,
526,2021-10-16,,       0,
526,2021-10-17,,       0,
526,2021-10-18,,       0,
526,2021-10-19,,       0,
526,2021-10-20,,       0,
526,2021-10-21,,       0,
526,2021-10-22,,       0,
526,2021-10-23,,       0,
526,2021-10-24,,       0,
526,2021-10-25,,       0,
526,2021-10-26,,       0,
526,2021-10-27,,       0,
