

Oregon (PST) SNOTEL Site Mckenzie - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Apr 26 09:02:49 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,SNWD.I-1 (in) ,
619,2021-01-01,,      54,
619,2021-01-02,,      58,
619,2021-01-03,,      58,
619,2021-01-04,,      57,
619,2021-01-05,,      59,
619,2021-01-06,,      59,
619,2021-01-07,,      61,
619,2021-01-08,,      59,
619,2021-01-09,,      63,
619,2021-01-10,,      61,
619,2021-01-11,,      61,
619,2021-01-12,,      60,
619,2021-01-13,,      54,
619,2021-01-14,,      53,
619,2021-01-15,,      53,
619,2021-01-16,,      53,
619,2021-01-17,,      53,
619,2021-01-18,,      53,
619,2021-01-19,,      52,
619,2021-01-20,,      53,
619,2021-01-21,,      52,
619,2021-01-22,,      52,
619,2021-01-23,,      51,
619,2021-01-24,,      51,
619,2021-01-25,,      57,
619,2021-01-26,,      56,
619,2021-01-27,,      59,
619,2021-01-28,,      59,
619,2021-01-29,,      57,
619,2021-01-30,,      59,
619,2021-01-31,,      59,
619,2021-02-01,,      56,
619,2021-02-02,,      54,
619,2021-02-03,,      66,
619,2021-02-04,,      71,
619,2021-02-05,,      69,
619,2021-02-06,,      67,
619,2021-02-07,,      66,
619,2021-02-08,,      66,
619,2021-02-09,,      66,
619,2021-02-10,,      66,
619,2021-02-11,,      67,
619,2021-02-12,,      69,
619,2021-02-13,,      74,
619,2021-02-14,,      90,
619,2021-02-15,,      92,
619,2021-02-16,,      94,
619,2021-02-17,,      98,
619,2021-02-18,,      97,
619,2021-02-19,,      97,
619,2021-02-20,,     103,
619,2021-02-21,,     105,
619,2021-02-22,,     103,
619,2021-02-23,,      99,
619,2021-02-24,,     100,
619,2021-02-25,,      99,
619,2021-02-26,,     103,
619,2021-02-27,,     116,
619,2021-02-28,,     116,
619,2021-03-01,,     113,
619,2021-03-02,,     109,
619,2021-03-03,,     106,
619,2021-03-04,,     104,
619,2021-03-05,,     102,
619,2021-03-06,,     112,
619,2021-03-07,,     106,
619,2021-03-08,,     106,
619,2021-03-09,,     104,
619,2021-03-10,,     104,
619,2021-03-11,,     103,
619,2021-03-12,,     102,
619,2021-03-13,,     101,
619,2021-03-14,,     100,
619,2021-03-15,,     103,
619,2021-03-16,,     101,
619,2021-03-17,,     100,
619,2021-03-18,,      98,
619,2021-03-19,,      98,
619,2021-03-20,,     101,
619,2021-03-21,,     103,
619,2021-03-22,,     101,
619,2021-03-23,,     110,
619,2021-03-24,,     106,
619,2021-03-25,,     110,
619,2021-03-26,,     110,
619,2021-03-27,,     106,
619,2021-03-28,,     104,
619,2021-03-29,,     104,
619,2021-03-30,,     104,
619,2021-03-31,,     102,
619,2021-04-01,,     101,
619,2021-04-02,,      99,
619,2021-04-03,,      98,
619,2021-04-04,,      96,
619,2021-04-05,,      94,
619,2021-04-06,,      93,
619,2021-04-07,,      92,
619,2021-04-08,,      91,
619,2021-04-09,,      92,
619,2021-04-10,,      90,
619,2021-04-11,,      91,
619,2021-04-12,,      90,
619,2021-04-13,,      88,
619,2021-04-14,,      87,
619,2021-04-15,,      85,
619,2021-04-16,,      83,
619,2021-04-17,,      81,
619,2021-04-18,,      79,
619,2021-04-19,,      76,
619,2021-04-20,,      74,
619,2021-04-21,,      72,
619,2021-04-22,,      70,
619,2021-04-23,,      68,
619,2021-04-24,,      66,
619,2021-04-25,,      66,
619,2021-04-26,,      69,
619,2021-04-27,,      67,
619,2021-04-28,,      66,
619,2021-04-29,,      63,
619,2021-04-30,,      60,
619,2021-05-01,,      58,
619,2021-05-02,,      57,
619,2021-05-03,,      54,
619,2021-05-04,,      53,
619,2021-05-05,,      51,
619,2021-05-06,,      48,
619,2021-05-07,,      46,
619,2021-05-08,,      47,
619,2021-05-09,,      44,
619,2021-05-10,,      44,
619,2021-05-11,,      42,
619,2021-05-12,,      39,
619,2021-05-13,,      36,
619,2021-05-14,,      33,
619,2021-05-15,,      31,
619,2021-05-16,,      28,
619,2021-05-17,,      25,
619,2021-05-18,,      21,
619,2021-05-19,,      19,
619,2021-05-20,,      19,
619,2021-05-21,,      17,
619,2021-05-22,,      19,
619,2021-05-23,,      18,
619,2021-05-24,,      16,
619,2021-05-25,,      14,
619,2021-05-26,,      13,
619,2021-05-27,,      10,
619,2021-05-28,,       8,
619,2021-05-29,,       5,
619,2021-05-30,,       2,
619,2021-05-31,,       0,
619,2021-06-01,,       0,
619,2021-06-02,,       0,
619,2021-06-03,,       0,
619,2021-06-04,,       0,
619,2021-06-05,,       0,
619,2021-06-06,,       0,
619,2021-06-07,,       0,
619,2021-06-08,,       0,
619,2021-06-09,,       0,
619,2021-06-10,,       0,
619,2021-06-11,,       0,
619,2021-06-12,,       0,
619,2021-06-13,,       0,
619,2021-06-14,,       0,
619,2021-06-15,,       0,
619,2021-06-16,,       0,
619,2021-06-17,,       0,
619,2021-06-18,,       0,
619,2021-06-19,,       0,
619,2021-06-20,,       0,
619,2021-06-21,,       0,
619,2021-06-22,,       0,
619,2021-06-23,,       0,
619,2021-06-24,,       0,
619,2021-06-25,,       0,
619,2021-06-26,,       0,
619,2021-06-27,,       0,
619,2021-06-28,,       0,
619,2021-06-29,,       0,
619,2021-06-30,,       0,
619,2021-07-01,,       0,
619,2021-07-02,,       0,
619,2021-07-03,,       0,
619,2021-07-04,,       0,
619,2021-07-05,,       0,
619,2021-07-06,,       0,
619,2021-07-07,,       0,
619,2021-07-08,,       0,
619,2021-07-09,,       0,
619,2021-07-10,,       0,
619,2021-07-11,,       0,
619,2021-07-12,,       0,
619,2021-07-13,,       0,
619,2021-07-14,,       0,
619,2021-07-15,,       0,
619,2021-07-16,,       0,
619,2021-07-17,,       0,
619,2021-07-18,,       0,
619,2021-07-19,,       0,
619,2021-07-20,,       0,
